,Country,Anthem,cluster,cluster_names
150,Ethiopia,"respect for citizenship is strong in our ethiopia; national pride is seen, shining from one side to another. for peace, for justice, for the freedom of peoples, in equality and in love we stand united. firm of foundation, we do not dismiss humanness; we are people who live through work. wonderful is the stage of tradition, owners of a proud heritage, natural grace, mother of a valorous people. we shall protect you ? we have a duty; our ethiopia, live! and let us be proud of you!",3,Glorious Homeland
151,Gabon,"united in the concord and the brotherhood, awake, gabon, dawn is at hand. stir up the spirit that thrills and inspires us! at last we rise up to attain happiness. at last we rise up to attain happiness. dazzling and proud, the sublime day dawns, dispelling for ever injustice and shame. may it rise, rise again and calm our fears, may it promote virtue and banish warfare. yes, may the happy days dreamed by our ancestors come for us at last, rejoice our hearts, and banish the sorcerers, those perfidious deceivers who were sowing poison and were spreading fear. so that, in the eyes of the world and of friendly nations, the immortal gabon may maintain her good repute, let us forget our quarrels, let us build together the new structure of which we are all dreaming of from the shores of the ocean to the heart of the forest, let us remain vigilant, without weakness and without hatred! around this flag which leads us to honour, let us salute the fatherland and ever sing!",0,Echoes of Sacred Freedom
152,Gambia,"for the gambia, our homeland we strive and work and pray, that all may live in unity, freedom and peace each day. let justice guide our actions towards the common good, and join our diverse peoples to prove man's brotherhood. we pledge our firm allegiance, our promise we renew; keep us, great god of nations, to the gambia ever true.",3,Glorious Homeland
153,Ghana,"god bless our homeland ghana, and make our nation brave and strong, bold to defend forever the cause of freedom and of right. fill our hearts with true humility make us cherish fearless honesty, and help us to resist oppressors' rule with all our will and might forever more . hail to thy name, o ghana to thee we make our solemn vow; steadfast to build together a nation strong in unity; with our gifts of mind and strength of arm, whether night or day, in the midst of storm, in every need whatever the call may be, to serve thee, ghana, now and evermore.raise high the flag of ghana, and one with africa advance; black star of hope and honor, to all who thirst for liberty;",0,Echoes of Sacred Freedom
154,Guinea,"people of africa! the historic past! sing the hymn of a guinea proud and young illustrious epic of our brothers who died on the field of honour while liberating africa! the people of guinea, preaching unity, call to africa. liberty! the voice of a people who call all her brothers to find their way again. liberty! the voice of a people who call all her brothers of a great africa. let us build african unity in a newly found independence!",3,Glorious Homeland
155,Guinea-Bissau,"sun, sweat, and the green sea, centuries of pain and hope; this is the land of our ancestors. fruit of our hands, of the flower of our blood: this is our beloved homeland.   long live our glorious homeland! the banner of our struggle has flourished in the skies. forward, against the foreign yoke! we are going to build in our immortal homeland peace and progress! in our immortal homeland peace and progress!   branches of the same trunk, eyes in the same light; this is the force of our unity! the sea and the land, the dawn and the sun are singing that our struggle has borne fruit! https://lyricstranslate.com",1,O Motherly Nature
156,Ivory Coast,"we salute you, o land of hope, country of hospitality; thy full gallant legions have restored thy dignity.   beloved ivory coast, thy sons, proud builders of thy greatness, all not mustered together for thy glory, in joy will we construct thee. proud citizens of the ivory coast, the country call us. if we have brought back liberty peacefully, it will be our duty to be an example   of the hope promised to humanity, forging unitedly in new faith the fatherland of true brotherhood. ",3,Glorious Homeland
157,Kenya,o god of all creation bless this our land and nation justice be our shield and defender may we dwell in unity peace and liberty plenty be found within our borders. let one and all arise with hearts both strong and true service be our earnest endeavour and our homeland of kenya heritage of splendour firm may we stand to defend. let all with one accord in common bond united build this our nation together and the glory of kenya the fruit of our labour fill every heart with thanksgiving.,3,Glorious Homeland
158,Lesotho,"lesotho, land of our fathers, you are the most beautiful country of all. you give us birth, in you we are reared and you are dear to us. lord, we ask you to protect lesotho. keep us free from conflict and tribulation oh, land of mine, land of our fathers, may you have peace. ",1,O Motherly Nature
159,Liberia,"all hail, liberia, hail! (all hail!) all hail, liberia, hail! (all hail!) this glorious land of liberty, shall long be ours. though new her name, green be her fame, and mighty be her powers, and mighty be her powers. in joy and gladness, with our hearts united, we'll shout the freedom, of a race benighted. long live liberia, happy land! a home of glorious liberty, by god's command! a home of glorious liberty, by god's command!   all hail, liberia, hail! (all hail!) all hail, liberia, hail! (all hail!) in union strong success is sure. we cannot fail! with god above, our rights to prove, we will o'er all prevail, we will o'er all prevail! with heart and hand our country's cause defending, we'll meet the foe with valour unpretending. long live liberia, happy land! a home of glorious liberty, by god's command! a home of glorious liberty, by god's command!",3,Glorious Homeland
160,Libya,"god is greatest! he is above the plots of the aggressors, and he is the best helper of the oppressed. with faith and with weapons i shall defend my country, and the light of truth will shine in my hand. sing with me! god is greatest! god, god, god is greatest! god is above the aggressors. o world, look up and listen! the enemy's army is coming, wishing to destroy me. with truth and with my gun i shall repulse him. and should i be killed, i would kill him with me. sing with me-- woe to the imperialists! and god is above the treacherous tyrant. god is greatest! therefore glorify him, o my country, and seize the forehead of the tyrant and destroy him! ",3,Glorious Homeland
161,Madagascar,"o, our beloved fatherland, o, fair madagascar, our love will never decay, but will last eternally. o, lord creator, do thou bless this island of our fathers, that she may be happy and prosperous for our own satisfaction. o, our beloved fatherland, let us be thy servant with body, heart and spirit in dear and worthy service. o, our beloved fatherland, may god bless thee, that created all lands; in order he maintains thee.",0,Echoes of Sacred Freedom
162,Malawi,"o god bless our land of malawi, keep it a land of peace. put down each and every enemy, hunger, disease, envy. join together all our hearts as one, that we be free from fear. bless our leader, each and every one, and mother malawi. our own malawi, this land so fair, fertile and brave and free. with its lakes, refreshing mountain air, how greatly blest are we. hills and valleys, soil so rich and rare, give us a bounty free. wood and forest, plains so broad and fair, all-beauteous malawi. freedom ever, let us all unite to build up malawi. with our love, our zeal and loyalty, bringing our best to her. in time of war, or in time of peace, one purpose and one goal. men and women serving selflessly in building malawi.",3,Glorious Homeland
163,Mali,"at your call, mali for your prosperity loyal towards your destiny we will be all united, one people, one goal, one faith, for a united africa if the enemy should show himself inside or outside, standing on the ramparts, we are ready to die.   for africa and for you, mali, our banner shall be liberty. for africa and for you, mali, our fight shall be for unity. oh, mali of today, oh, mali of tomorrow, the fields are flowering with hope hearts are thrilling with confidence.   standing town and country standing women, young and old for the country moving towards a bright future for our dignity let us strengthen our ranks well for the public salvation let us forge the common good together shoulder to shoulder let us make the path of happiness     the path is hard very hard which leads to common happiness courage and dedication vigilance at all times truth of ancient times truth everyday happiness through labour will make the mali of tomorrow     africa finally rises let us welcome this new day let us welcome liberty let us march towards unity new found dignity support our fight true to our oath of making africa united my brothers standing together all at the appointment of honour",0,Echoes of Sacred Freedom
164,Mauritania,"the country of fatherhood is the honorable gift and the fortress of the book, which is not bound  ayia moritan spring harmony  and the pillar of forgiveness is the hole of peace   we will protect your fianc?and we will pay you  and hope for hope  and when we meet we will answer you   your character has not been blocked  the sun on your forehead did not go away  nmac of amjad expresses  africa has the freshest upstream   we gave birth to the dew and the father  a good pregnancy  and the prey of khasibah, and if they find it  smona, and we were welcome   your enemy has kept us young and bitter  so he got down and not stable   we have made you a covenant, and our promise is a promise  we will give you a sense of generosity   we will protect your fianc?and we will pay you  and hope for hope  we will protect your fianc?and we will pay you  and when we meet we will answer you ",2,A Child’s Voice
165,Mauritius,"glory to thee, motherland o motherland of mine sweet is thy beauty, sweet is thy fragrance, around thee we gather as one people, as one nation, in peace, justice and liberty. beloved country, may god bless thee for ever and ever.",3,Glorious Homeland
166,Morocco,"root of the free, and of the brav rising place of the lights forum of glory and its protector may you perpetuate as its forum and its protector may you live among the homeland as an address for grandeu filling every garde conveyed by every tongue with the spirit, with the body your son has come to answer your call in my mouth and in my blood your love stirred up as light and fire let?s go brothers! heading for grandeur making the world witness that we here perpetually liv with the motto god, homeland, king.",3,Glorious Homeland
167,Mozambique,"in the memory of africa and the world beautiful fatherland of those that dared to fight mozambique, your name is freedom the sun of june forever will shine   mozambique, our glorious land rock by rock constructing the new day millions of arms in one only force o loved fatherland we will be successful   united people from rovuma to maputo it harvests the fruits of the combat for the peace the dream grows waving in the flag and goes cultivating in the certainty of tomorrow     flowers sprouting of the soil of your sweat for mounts, the rivers, the sea we swear for you, o mozambique no tyrant will enslave us",3,Glorious Homeland
168,Namibia,namibia land of the brave freedom fight we he won glory to their bravery whose blood waters our freedom we give our love and loyalty together in unity contrasting beautiful namibia namibia our country beloved land of savannahs hold high the banner of liberty namibia our country namibia motherland we love thee,1,O Motherly Nature
169,Niger,"throughout great powerful niger which makes nature more beautiful, let us be proud and grateful for our newfound freedom! let us avoid vain quarrels in order to spare ourselves bloodshed, and may the glorious voices of our race be free of domination! let us rise in a single leap as high as the dazzling sky, where stands guard its eternal soul which will make the country greater! arise! niger! arise! may our fruitful labors rejuvenate the heart of this old continent! and may the song be heard in the four corners of the earth as the cry of a fair and valiant people! arise! niger! arise! on the ground and on the wave, to the sound of the drums in their growing rhythms let us always remain united, and may each one respond to this noble future which tells us go forward!",0,Echoes of Sacred Freedom
170,Nigeria,"arise, o compatriots arise, o compatriots, nigeria's call obey to serve our fatherland with love and strength and faith. the labour of our heroes past shall never be in vain, to serve with heart and might one nation bound in freedom, peace and unity. o god of creation, direct our noble cause; guide our leaders right: help our youth the truth to know, in love and honesty to grow, and living just and true, great lofty heights attain, to build a nation where peace and justice reign. ",0,Echoes of Sacred Freedom
171,Republic of the Congo,"on this day the sun rises and our congo stands resplendent. a long night is ended, a great happiness has come. let us all, with wild joyfulness, sing the song of freedom. arise, congolese, proud every man, proclaim the unity of our nation. let us forget what divides us and become more united than ever. let us live our motto: unity, work, progress. from the forest to the bush, from the bush to the ocean, one people, one soul, one heart, ardent and proud. let us all fight, every one of us, for our black country. and if we have to die, what does it really matter? our children everywhere will be able to say how triumph comes through battle, and in the smallest village sing beneath our three colours.",0,Echoes of Sacred Freedom
172,Rwanda,"rwanda, our beautiful and dear country adorned of hills, lakes and volcanoes motherland, would be always filled of happiness us all your children: abanyarwanda let us sing your glare and proclaim your high facts you, maternal bosom of us all would be admired forever, prosperous and cover of praises. invaluable heritage, that god protects to you you filled us priceless goods our common culture identifies us our single language unifies us that our intelligence, our conscience and our forces fill you with varied riches for an unceasingly renewed development. our valorous ancestors gave themselves bodies and souls as far as making you a big nation you overcame the colonial-imperialistic yoke that has devastated africa entirely and has your joy of your sovereign independence acquired that constantly we will defend. maintain this cape, beloved rwanda, standing, we commit for you so that peace reigns countrywide that you are free of all hindrance that your determination hires progress that you have excellent relations with all countries and that finally your pride is worth your esteem. ",2,A Child’s Voice
173,Saint Helena,my heart is drifting southward to my home down in the sea it?s the isle of st. helena where my loved ones wait for me long since i left it but i?ll soon be going home to my st. helena island and swear i?ll never roam diamonds they are pretty so is your fancy cars but st. helena island is prettier by far all the wonders of this world i?m told they number seven but st. helena island is the nearest one to heaven diamonds they are pretty so is your fancy cars but st. helena island is prettier by far someday if the lord above comes out of heaven?s gate i?m sure he?ll pick st. helena and use it as his place,2,A Child’s Voice
174,Sao Tome and Principe,"total independence, glorious song of the people, total independence, sacred hymn of combat. dynamism in the national struggle, eternal oath to the sovereign country of s? tom?and pr?cipe. warriors in the war without weapons, live flame in the soul of the people, congregating the sons of the islands around the immortal fatherland. total independence, total and complete, building, in progress and peace, the happiest nation on earth, with the heroic arms of the people. working, struggling, struggling and conquering, we go ahead with giant steps in the crusade of the african peoples, raising the national flag. voice of the people, present, present and united, strong beat in the heart of hope to be a hero in the hour of peril, a hero of the nation's resurgence. dynamism in the national struggle, eternal oath to the sovereign country of s? tom?and pr?cipe",3,Glorious Homeland
175,Senegal,"sound, all of you, your koras, beat the drums, the red lion has roared, the tamer of the bush with one leap has rushed forward scattering the gloom. light on our terrors, light on our hopes. arise, brothers, africa behold united! shoulder to shoulder, o people of s??al, more than brothers to me, arise! unite the sea and the springs, unite the steppe and the forest! hail, mother africa, hail, mother africa! s??al, thou son of the lion arise in the night with great speed, restore, oh, restore to us the honour of our ancestors, magnificent as ebony and strong as muscles! we are a straight people-the sword has no fault. s??al, we make your great design our own: to gather the chicks, sheltering them from kites, to make from them, from east to west, from north to south, a people rising as one, in seamless unity, yet a people facing all the winds of the earth. s??al, like thee, like all our heroes, we will be stern without hatred, and with open arms. the sword we will put peacefully in its sheath, for work and words will be our weapon. the bantu is our brother, the arab, and the white man too. but if the enemy violates our frontiers, we will all be ready, weapons in our hands; a people in its faith defying all evil; young and old, men and women, death, yes! but not dishonour.",0,Echoes of Sacred Freedom
176,Seychelles,"seychelles, our only motherland where we live in harmony happiness, love and peace we give thanks to god. preserve the beauty of our country the riches of our oceans a precious heritage for the happiness of our children. live forever in unity raise our flag together for all eternity join together all seychellois! ",0,Echoes of Sacred Freedom
177,Sierra Leone,"high we exalt thee, realm of the free; great is the love we have for thee; firmly united ever we stand, singing thy praise, o native land. we raise up our hearts and our voices on high, the hills and the valleys re-echo our cry; blessing and peace be ever thine own, land that we love, our sierra leone.   one with a faith that wisdom inspires, one with a zeal that never tires; ever we seek to honour thy name, ours is the labour, thine the fame. we pray that no harm on thy children may fall, that blessing and peace may descend on us all; so may we serve thee ever alone, land that we love, our sierra leone.   knowledge and truth our forefathers spread, mighty the nations whom they led; mighty they made thee, so too may we show forth the good that is ever in thee. we pledge our devotion, our strength and our might, thy cause to defend and to stand for thy right; all that we have be ever thine own, land that we love, our sierra leone. ",0,Echoes of Sacred Freedom
178,Somalia,"any nation?s flag, bears its own color the sky (above us), does ours look like defects it has none; love it with candor oh you white star, at your service we are superior you are, in any part of our land be famous oh star, like the sun (of the far)on the day you arose, our hearts you have purified with pureness, (oh you our flag) lord may not dim you, pray we in this night the detached part of, our forces of fivei beseech from  god, their return you cause this fate that wrote, for us to meet now ",3,Glorious Homeland
179,South Africa,"lord bless africa may her glory be lifted high, hear our prayers lord bless us, your children. lord we ask you to protect our nation, intervene and end all conflicts, protect us, protect our nation, protect south africa, south africa. out of the blue of our heavens, from the depths of our seas, over our everlasting mountains, where the echoing crags resound, sounds the call to come together, and united we shall stand, let us live and strive for freedom, in south africa our land.",2,A Child’s Voice
180,South Sudan,"oh god we praise and glorify you for your grace on south sudan, the land of great abundance uphold us united in peace and harmony. oh motherland we rise raising flag with the guiding star and sing songs of freedom with joy; for justice, liberty and prosperity shall forever more reign. oh great patriots let us stand up in silence and respect, saluting our martyrs whose blood cemented our national foundation, we vow to protect our nation. oh god, bless south sudan! ",0,Echoes of Sacred Freedom
181,Sudan,"we are the soldiers of god,  the soldiers of our homeland, we never fail when called for sacrifice. death, we defy at adversity. glory, we buy with the highest price. this land is ours. may, our sudan, live long, an edifice among the nations, o sons of the sudan, this is your symbol, which shoulders your burden and shields your land. ",1,O Motherly Nature
182,Swaziland,"o lord our god, bestower of the blessings of the swazi; we give thee thanks for all our good fortune; we offer thanks and praise for our king and for our fair land, its hills and rivers. thy blessings be on all rulers of our country; thine alone is our lord; we pray thee to grant us wisdom without deceit or malice. establish and fortify us, lord eternal.",2,A Child’s Voice
183,Tanzania,"god bless africa bless its leaders wisdom, unity and peace these are our shields africa and its people bless africa, bless africa bless us, the children of africa god bless tanzania grant eternal freedom and unity to its women, men and children god bless tanzania and its people bless tanzania, bless tanzania bless us, the children of tanzania",0,Echoes of Sacred Freedom
184,Togo,"hail to thee, land of our forefathers' thou who made them strong, peaceful and happy, cultivated virtue and bravery for prosperity. even if tyrants shall come, thy heart yearns towards freedom. togo arise! let us struggle without faltering. victory or death, but dignity. god almighty, thou alone, hast made togo prosper. people of togo arise! let us build the nation. to serve thee in unity is the most burning desire of our hearts. let us shout aloud our motto that nothing can tarnish. we the only builders of thy happiness and of thy future, everywhere let us break chains and treachery, and we swear to thee for ever faith, love, service, untiring zeal, to make thee yet, beloved togo, a golden example for humanity. hail, hail to the entire universe let us unite our efforts on this immense building site whence will be reborn anew great humanity. everywhere, instead of misery, let us bring happiness. let us chase from the world unruly hatred. it's over with slavery and captivity. at the star of liberty, let us renew the solidarity of the nations in fraternity. ",0,Echoes of Sacred Freedom
185,Tunisia,"o defenders of the homeland! rally around to the glory of our time! the blood surges in our veins, we die for the sake of our land. let the heavens roar with thunder let thunderbolts rain with fire. men and youth of tunisia, rise up for her might and glory. no place for traitors in tunisia, only for those who defend her! we live and die loyal to tunisia, a life of dignity and a death of glory. as a nation we inherited arms like granite towers. holding aloft our proud flag flying, we boast of it, it boasts of us, arms that achieve ambitions and glory, sure to realize our hopes, inflict defeat on foes, offer peace to friends. when the people will to live, destiny must surely respond. oppression shall then vanish. fetters are certain to break. ",3,Glorious Homeland
186,Uganda,"oh uganda! may god uphold thee, we lay our future in thy hand, united, free, for liberty, together we'll always stand. oh uganda! the land of freedom, our love and labor we give, and with neighbours' all, at our country's call, in peace and friendship, we'll live. oh uganda! the land that feeds us, by sun and fertile soil grown, for our own dear land, we'll always stand, the pearl of africa's crown.",1,O Motherly Nature
187,Western Sahara,"o sons of the sahara! in the battlefield, you are torch holders in the long road make revolution in our nation and follow this path for her sake. cut off the head of the invader. cut off the head of the invader. o revolutionaries, the homeland will be glorious. cut off the estates in this region. remove in war the causes for protest and abandon it; no submission, no yielding. no agent, no invader, no agent, no invader. you who ask about us: we are the ones who drive the transforming struggle. we are the ones who smash that idol, we are the ones who understand the beautiful lesson. we are the people of the path; we are the people of the path. we are the ones who revealed the path against the raid, the one that burns up the raiders. it is the war to erase the oppressor and establish the right of the laborers. we are the people of the path; we are the people of the path. the uprising is for the people and will advance in the arab lands. it will produce unity forever in the hearts and will establish justice and democracy. every century, every generation, every century, every generation.",3,Glorious Homeland
188,Zambia,"stand and sing of zambia, proud and free, land of work and joy in unity, victors in the struggle for the right, we have won freedom's fight. all one, strong and free. africa is our own motherland, fashion'd with and blessed by god's good hand, let us all her people join as one, brothers under the sun. all one, strong and free. one land and one nation is our cry, dignity and peace 'neath zambia's sky, like our noble eagle in its flight, zambia, praise to thee. all one, strong and free. praise be to god. praise be, praise be, praise be, bless our great nation, zambia, zambia, zambia. free men we stand under the flag of our land. zambia, praise to thee! all one, strong and free.",3,Glorious Homeland
189,Zimbabwe,"oh lift high the banner, the flag of zimbabwe the symbol of freedom proclaiming victory; we praise our heroes' sacrifice, and vow to keep our land from foes; and may the almighty protect and bless our land. oh lovely zimbabwe, so wondrously adorned with mountains, and rivers cascading, flowing free; may rain abound, and fertile fields; may we be fed, our labour blessed; and may the almighty protect and bless our land. oh god, we beseech thee to bless our native land; the land of our fathers bestowed upon us all; from zambezi to limpopo may leaders be exemplary; and may the almighty protect and bless our land.",3,Glorious Homeland
